,cell_type
0,TAM 3
1,TAM 3
2,Mono 1
3,TAM 2
4,TAM 2
5,TAM 5
6,Mono 1
7,NK
8,Mono 2
9,Tcells 3
10,TAM 2
11,Tcells 2
12,Tcells 2
13,TAM 3
14,Treg
15,Tcells 3
16,TAM 4
17,TAM 4
18,TAM 5
19,Tcells 3
20,Tcells 1
21,TAM 5
22,TAM 5
23,TAM 1
24,Tcells 2
25,NK
26,TAM 5
27,Mono 1
28,TAM 5
29,TAM 2
30,Mono 1
31,TAM 5
32,Tcells 1
33,Tcells 3
34,TAM 5
35,cDC2
36,Tcells 2
37,Tcells 1
38,TAM 3
39,Mono 2
40,Tcells 3
41,Treg
42,Mono 1
43,Treg
44,Proliferating TAM
45,Mono 1
46,Mono 1
47,Treg
48,Mono 1
49,TAM 5
50,Tcells 2
51,Proliferating T cells
52,Tcells 2
53,Proliferating T cells
54,Tcells 2
55,Tcells 1
56,Mono 1
57,TAM 2
58,TAM 3
59,Tcells 2
60,TAM 3
61,TAM 5
62,TAM 5
63,TAM 5
64,Mono 1
65,TAM 3
66,Tcells 3
67,Mono 1
68,Tcells 1
69,NK
70,Tcells 1
71,cDC1
72,TAM 3
73,TAM 2
74,Proliferating TAM
75,Mono 2
76,Tcells 3
77,TAM 5
78,TAM 5
79,TAM 3
80,TAM 4
81,Tcells 1
82,Mono 1
83,NK
84,Tcells 1
85,TAM 2
86,Proliferating T cells
87,Proliferating TAM
88,Mono 1
89,NK
90,TAM 5
91,Mono 2
92,Mono 2
93,cDC2
94,Treg
95,TAM 5
96,TAM 5
97,Tcells 3
98,Treg
99,Tcells 1
100,Mono 2
101,TAM 5
102,TAM 2
103,Mono 1
104,Mono 2
105,Tcells 3
106,Tcells 1
107,Tcells 1
108,Mono 1
109,TAM 5
110,Mono 2
111,Tcells 3
112,TAM 3
113,TAM 5
114,Tcells 1
115,TAM 5
116,B
117,TAM 3
118,Mono 1
119,Mono 1
120,Tcells 1
121,Mono 2
122,Tcells 1
123,Treg
124,Tcells 3
125,Tcells 1
126,Tcells 2
127,Mono 1
128,Tcells 3
129,Mono 1
130,TAM 5
131,Mono 1
132,TAM 3
133,Tcells 2
134,TAM 4
135,TAM 5
136,TAM 3
137,Tcells 3
138,TAM 2
139,Mono 2
140,Mono 1
141,TAM 3
142,Tcells 2
143,TAM 3
144,Proliferating T cells
145,Tcells 1
146,TAM 3
147,cDC2
148,Mono 1
149,Proliferating TAM
150,Tcells 1
151,TAM 3
152,NK
153,Proliferating TAM
154,Tcells 1
155,NK
156,Mono 1
157,TAM 5
158,Treg
159,Tcells 3
160,Mono 1
161,TAM 3
162,TAM 3
163,Tcells 1
164,TAM 3
165,Tcells 2
166,Mono 1
167,Tcells 1
168,TAM 3
169,Tcells 1
170,Proliferating TAM
171,NK
172,Tcells 1
173,Tcells 1
174,Proliferating TAM
175,Tcells 1
176,NK
177,Mono 1
178,Tcells 3
179,TAM 2
180,Tcells 1
181,TAM 2
182,TAM 1
183,Mono 1
184,Proliferating TAM
185,NK
186,Mono 1
187,TAM 1
188,Tcells 1
189,TAM 3
190,TAM 5
191,TAM 5
192,TAM 3
193,Mono 2
194,Mono 2
195,TAM 2
196,TAM 5
197,TAM 5
198,NK
199,TAM 3
200,Tcells 1
201,B
202,TAM 3
203,Treg
204,Tcells 2
205,NK
206,Mono 1
207,Tcells 3
208,TAM 3
209,Tcells 1
210,TAM 3
211,NK
212,Tcells 1
213,NK
214,Proliferating TAM
215,TAM 5
216,Mono 1
217,NK
218,Tcells 2
219,TAM 1
220,cDC1
221,Tcells 1
222,Tcells 1
223,Mono 1
224,TAM 5
225,Mono 2
226,Tcells 2
227,Mono 2
228,TAM 5
229,Tcells 1
230,TAM 5
231,Tcells 3
232,TAM 2
233,TAM 3
234,TAM 3
235,TAM 2
236,TAM 3
237,cDC2
238,NK
239,Proliferating TAM
240,NK
241,TAM 3
242,Tcells 3
243,Proliferating T cells
244,Tcells 1
245,TAM 2
246,Mono 2
247,TAM 5
248,NK
249,Mono 1
250,Tcells 3
251,Tcells 3
252,TAM 3
253,Tcells 2
254,TAM 5
255,Tcells 1
256,Mono 1
257,TAM 5
258,TAM 5
259,Tcells 3
260,Tcells 1
261,Mono 1
262,Tcells 2
263,Tcells 2
264,TAM 3
265,TAM 3
266,Treg
267,Tcells 3
268,TAM 3
269,Tcells 2
270,Tcells 1
271,TAM 5
272,Tcells 2
273,TAM 5
274,TAM 5
275,Tcells 1
276,Mono 2
277,Tcells 1
278,Mono 1
279,Tcells 1
280,Tcells 1
281,B
282,Mono 1
283,Proliferating TAM
284,TAM 5
285,Mono 1
286,Mono 1
287,B
288,TAM 5
289,NK
290,TAM 3
291,TAM 3
292,Proliferating TAM
293,B
294,TAM 3
295,TAM 5
296,Mono 2
297,Tcells 2
298,Tcells 3
299,TAM 3
300,Treg
301,TAM 2
302,TAM 3
303,Mono 1
304,TAM 3
305,TAM 5
306,TAM 3
307,Mono 2
308,Tcells 1
309,Proliferating TAM
310,TAM 1
311,cDC2
312,Tcells 2
313,TAM 2
314,TAM 2
315,Tcells 1
316,TAM 5
317,TAM 3
318,TAM 2
319,Tcells 2
320,Tcells 2
321,Tcells 1
322,TAM 2
323,Tcells 2
324,NK
325,Mono 1
326,Tcells 2
327,Mono 1
328,Tcells 1
329,Tcells 2
330,Tcells 1
331,Tcells 1
332,B
